x,I60,I70,I80,I90,I100
"3,514","25,5787",nan,"20,9201","19,4283",nan
"3,5141","25,579","22,8531","20,9203","19,4285",nan
"3,5143","25,5795","22,8535","20,9206","19,4286",nan
"3,5369","25,6317","22,9053","20,962","19,452","18,59"
"3,8198","26,2582","23,5283","21,4554","19,7344","18,8467"
"3,9949","26,627","23,9012","21,7425","19,9074","18,9953"
"3,995","26,6273","23,9014","21,7428","19,9075","18,9955"
"4,0729","26,7715","24,0256","21,8667","19,9877","19,055"
"4,0991","26,82","24,0679","21,908","20,0161","19,0792"
"4,3986","27,3566","24,5417","22,3639","20,4069","19,3373"
"4,3987","27,3568","24,5419","22,3641","20,4071","19,3374"
"4,5416","27,6055","24,7634","22,5725","20,582","19,4534"
"4,571","27,6473","24,81","22,6144","20,6164","19,4768"
"4,8741","28,0774","25,1558","23,0173","20,95","19,7082"
"5,0327","28,2946","25,332","23,2026","21,1117","19,8311"
"5,0978","28,3823","25,4029","23,2732","21,1758","19,8801"
"5,1963","28,514","25,5083","23,3752","21,2703","19,9529"
"5,2636","28,5952","25,5787","23,4422","21,3334","20,0017"
"5,6489","29,0474","25,9949","23,8028","21,6793","20,2673"
"5,8326","29,2545","26,1844","23,9713","21,8413","20,3987"
"5,8703","29,2965","26,2228","24,0063","21,8747","20,425"
"5,9837","29,4225","26,3378","24,1122","21,9753","20,503"
"6,0613","29,4941","26,4174","24,1846","22,0438","20,5554"
"6,5888","29,9709","26,8063","24,6448","22,485","20,8963"
"6,7165","30,0812","26,8981","24,7401","22,5811","20,9678"
"6,8034","30,1551","26,96","24,8003","22,6435","21,0162"
"6,8464","30,1913","26,9905","24,8289","22,6733","21,04"
"7,0247","30,3422","27,1162","24,9405","22,7908","21,1373"
"7,6361","30,8354","27,4719","25,2853","23,1413","21,4554"
"7,784","30,9509","27,5542","25,3691","23,2196","21,5254"
"7,8839","31,0299","27,6088","25,4271","23,272","21,572"
"7,8848","31,0307","27,6093","25,4276","23,2724","21,5724"
"8,1412","31,1772","27,7452","25,5799","23,4062","21,6895"
"8,9068","31,6055","28,1704","26,0117","23,7915","22,0145"
"9,0212","31,6671","28,2307","26,0679","23,8464","22,0702"
"9,137","31,7288","28,2909","26,1217","23,9009","22,1249"
"9,138","31,7294","28,2915","26,1221","23,9014","22,1254"
"9,4352","31,8794","28,4441","26,2483","24,0373","22,2615"
"10,3225","32,3047","28,8247","26,5782","24,4058","22,6435"
"10,4551","32,3659","28,8795","26,627","24,456","22,691"
"10,5892","32,4277","28,9342","26,6772","24,5054","22,7391"
"10,6586","32,4546","28,9623","26,7033","24,5304","22,7638"
"10,9349","32,5621","29,0731","26,8082","24,6268","22,861"
"11,9632","32,9461","29,4381","27,1809","24,962","23,2026"
"12,1949","33,0318","29,5167","27,256","25,0374","23,2814"
"12,2723","33,0567","29,5427","27,2801","25,0629","23,3072"
"12,3527","33,0828","29,5695","27,3047","25,0895","23,3339"
"12,7544","33,2123","29,7021","27,4206","25,225","23,4643"
"13,9539","33,5797","30,0407","27,7239","25,615","23,8315"
"14,0429","33,6059","30,0649","27,7452","25,6412","23,8551"
"14,3145","33,6856","30,1379","27,8112","25,718","23,9269"
"14,3161","33,6861","30,1383","27,8116","25,7185","23,9273"
"14,7817","33,8045","30,2612","27,9343","25,8389","24,0482"
"14,8773","33,8286","30,2841","27,9549","25,8622","24,0726"
"16,172","34,1449","30,5855","28,2201","26,1573","24,3906"
"16,59","34,2447","30,6784","28,3011","26,2523","24,4838"
"16,698","34,2644","30,7023","28,3219","26,2776","24,5076"
"17,241","34,3644","30,8203","28,4236","26,4074","24,6247"
"17,353","34,3848","30,8451","28,4441","26,4346","24,6483"
"18,863","34,6517","31,1166","28,7208","26,798","24,9497"
"19,35","34,734","31,2017","28,8055","26,9061","25,0598"
"19,353","34,7343","31,2021","28,8058","26,9066","25,0602"
"19,982","34,8361","31,3095","28,9127","27,0352","25,196"
"20,111","34,8567","31,33","28,9333","27,0603","25,2233"
"21,861","35,1221","31,5971","29,1986","27,3712","25,5787"
"22,429","35,2033","31,6786","29,28","27,4657","25,6699"
"22,57","35,2232","31,6986","29,3","27,4891","25,6927"
"23,307","35,3299","31,7987","29,402","27,6093","25,8094"
"23,458","35,3513","31,8238","29,4225","27,6334","25,833"
"25,499","35,6275","32,1388","29,688","27,9377","26,1378"
"26,158","35,7124","32,2349","29,7691","28,0244","26,2359"
"26,161","35,7127","32,2353","29,7695","28,0248","26,2363"
"27,012","35,8139","32,3578","29,8748","28,1276","26,3584"
"27,361","35,8548","32,3972","29,9117","28,1676","26,4074"
"29,552","36,0998","32,6412","30,1306","28,4066","26,6969"
"30,511","36,2016","32,7436","30,2213","28,5136","26,8336"
"30,514","36,2019","32,744","30,2216","28,514","26,834"
"31,506","36,3039","32,847","30,3126","28,6306","26,9696"
"31,71","36,3245","32,8679","30,3311","28,6551","26,9969"
"34,249","36,5695","33,1123","30,5759","28,9543","27,3259"
"35,364","36,671","33,2142","30,6779","29,0731","27,4402"
"35,588","36,6908","33,2342","30,698","29,0955","27,4631"
"36,749","36,7976","33,3362","30,8024","29,2046","27,5799"
"36,987","36,8189","33,357","30,8203","29,2256","27,6035"
"39,948","37,0738","33,604","31,0306","29,4649","27,885"
"41,244","37,18","33,7054","31,1174","29,562","28,0072"
"41,249","37,1804","33,7058","31,1177","29,5623","28,0077"
"42,864","37,3019","33,8254","31,2221","29,6816","28,1538"
"43,142","37,3224","33,8506","31,2396","29,7021","28,1783"
"46,298","37,547","34,1173","31,4319","29,9368","28,4441"
"47,805","37,6491","34,2378","31,5192","30,0515","28,5756"
"48,107","37,6692","34,2616","31,5364","30,0747","28,6013"
"49,678","37,7716","34,3845","31,6239","30,1953","28,7322"
"50,321","37,8125","34,4239","31,6589","30,2441","28,7845"
"54,002","38,0371","34,6473","31,8511","30,504","29,0731"
"55,76","38,1386","34,75","31,9384","30,6106","29,193"
"56,113","38,1584","34,7702","31,9556","30,6303","29,2168"
"57,944","38,2652","34,8737","32,0431","30,7241","29,3384"
"58,695","38,3078","34,9142","32,0782","30,7594","29,3873"
"62,585","38,5202","35,1171","32,2606","30,9267","29,6322"
"65,032","38,6476","35,239","32,3697","31,0296","29,7723"
"65,039","38,648","35,2393","32,37","31,0299","29,7727"
"67,586","38,7696","35,3629","32,4799","31,1424","29,9132"
"68,024","38,7901","35,3809","32,4976","31,1621","29,9368"
"72,999","39,0146","35,5819","32,69","31,3898","30,1913"
"75,853","39,1368","35,6915","32,7944","31,5188","30,3564"
"75,862","39,1372","35,6918","32,7947","31,5191","30,3568"
"78,329","39,2392","35,7823","32,8818","31,6274","30,4926"
"79,344","39,2802","35,8237","32,9169","31,6708","30,5471"
"84,602","39,4844","36,0271","33,0921","31,8843","30,8203"
"87,92","39,6062","36,1489","33,197","32,0083","30,9642"
"88,476","39,6261","36,1688","33,2142","32,0283","30,988"
"91,364","39,7331","36,2715","33,3014","32,1288","31,1099"
"92,547","39,7758","36,3076","33,3362","32,1688","31,1589"
"98,049","39,9671","36,4726","33,4678","32,35","31,3794"
"102,539","40,1153","36,6006","33,5692","32,4972","31,5494"
"102,55","40,1156","36,6009","33,5695","32,4976","31,5498"
"105,886","40,2208","36,6908","33,6419","32,6093","31,6714"
"107,948","40,2844","36,7556","33,6856","32,6783","31,7445"
"113,634","40,4542","36,925","33,8071","32,8604","31,9385"
"118,09","40,5829","37,0517","33,8983","32,9868","32,0917"
"118,837","40,6045","37,0726","33,9132","33,0061","32,1166"
"122,716","40,6959","37,18","33,9893","33,0995","32,2438"
"125,106","40,7515","37,2334","34,0351","33,1529","32,3201"
"130,854","40,8808","37,3607","34,1416","33,2759","32,4976"
"136,861","40,9965","37,489","34,2479","33,4061","32,6754"
"137,726","41,0238","37,5071","34,2629","33,4256","32,7004"
"142,221","41,1476","37,5993","34,3389","33,53","32,8277"
"144,991","41,2202","37,6547","34,3845","33,5952","32,9041"
"150,683","41,3645","37,7651","34,472","33,7272","33,0567"
"158,61","41,5583","37,9113","34,5884","33,8953","33,2594"
"159,62","41,5829","37,9291","34,6027","33,9146","33,2843"
"164,83","41,6759","38,0187","34,6756","34,0085","33,4115"
"169,12","41,7525","38,1049","34,734","34,0799","33,5134"
"173,52","41,8296","38,1897","34,7947","34,1501","33,6158"
"183,81","42,0022","38,3795","34,9311","34,3143","33,8333"
"183,83","42,0026","38,3798","34,9314","34,3146","33,8338"
"191,03","42,1313","38,5079","35,0224","34,4371","33,9796"
196,"42,2165","38,5791","35,0834","34,5248","34,0773"
"201,1","42,3014","38,6519","-6,02704959148395366e+39","34,6159","34,1749"
"211,68","42,4707","38,7984","-1,625042819671771838e+41","34,8038",nan
"213,02","42,4914","38,8165","-2,057750784276914058e+41","34,8271",nan
"221,39",nan,"38,9272","-6,44040784200539989e+41","34,9684",nan
